Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])
2.000000e-03 4.787806e-01 1.762833e+02 8.881632e+01     Pix  1 42
1.999971e-03 4.732258e-01 1.759233e+02 8.959667e+01     Pix  1 43
2.000000e-03 5.277674e-01 1.737015e+02 9.188884e+01     Pix  1 44
2.000000e-03 4.763837e-01 1.744150e+02 9.136140e+01     Pix  1 45
2.000000e-03 4.339050e-01 1.775582e+02 9.099397e+01     Pix  1 46
2.000000e-03 4.495238e-01 1.756721e+02 9.002624e+01     Pix  1 47
2.000000e-03 4.925686e-01 1.766754e+02 8.787454e+01     Pix  1 48
2.000000e-03 4.960370e-01 1.737859e+02 9.133326e+01     Pix  1 49
2.000000e-03 4.893244e-01 1.751607e+02 9.175239e+01     Pix  1 50
2.000000e-03 4.190933e-01 1.755191e+02 9.091234e+01     Pix  1 51
2.000000e-03 4.761199e-01 1.719910e+02 9.470907e+01     Pix  1 52
2.000000e-03 4.152446e-01 1.768552e+02 9.155166e+01     Pix  1 53
2.000000e-03 4.721380e-01 1.749013e+02 9.204205e+01     Pix  1 54
2.000000e-03 4.414269e-01 1.755676e+02 9.068965e+01     Pix  1 55
2.000000e-03 4.521908e-01 1.768321e+02 9.147538e+01     Pix  1 56
2.000000e-03 4.289993e-01 1.760834e+02 9.158270e+01     Pix  1 57
2.000000e-03 4.893738e-01 1.721530e+02 9.260995e+01     Pix  1 58
2.000000e-03 4.600565e-01 1.750007e+02 8.849108e+01     Pix  1 59
2.000000e-03 4.706625e-01 1.746047e+02 9.080478e+01     Pix  1 60
2.000000e-03 5.062680e-01 1.730952e+02 9.047808e+01     Pix  1 61
2.000000e-03 4.992005e-01 1.740371e+02 8.799184e+01     Pix  1 62
2.000000e-03 4.791829e-01 1.728014e+02 9.247519e+01     Pix  1 63
2.000000e-03 4.855445e-01 1.732497e+02 9.355844e+01     Pix  1 64
2.000000e-03 4.801371e-01 1.735431e+02 9.181635e+01     Pix  1 65
1.999999e-03 4.938385e-01 1.731119e+02 8.885368e+01     Pix  1 66
2.000000e-03 4.912295e-01 1.745794e+02 8.976643e+01     Pix  1 67
2.000000e-03 4.999242e-01 1.732403e+02 9.057825e+01     Pix  1 68
2.000000e-03 4.507381e-01 1.717018e+02 9.394583e+01     Pix  1 69
2.000000e-03 4.615030e-01 1.726814e+02 9.438194e+01     Pix  1 70
2.000000e-03 5.000352e-01 1.680139e+02 9.740210e+01     Pix  1 71
2.000000e-03 5.023078e-01 1.711054e+02 9.236977e+01     Pix  1 72
2.000000e-03 4.942024e-01 1.711700e+02 9.398802e+01     Pix  1 73
2.000000e-03 5.017840e-01 1.705579e+02 9.295314e+01     Pix  1 74
2.000000e-03 5.035843e-01 1.700308e+02 9.218616e+01     Pix  1 75
2.000000e-03 5.207622e-01 1.700560e+02 9.344865e+01     Pix  1 76
2.000000e-03 5.193663e-01 1.686005e+02 9.471586e+01     Pix  1 77
2.000000e-03 5.265539e-01 1.708212e+02 9.161093e+01     Pix  1 78
1.868338e-03 5.513819e-01 1.704345e+02 9.097824e+01     Pix  1 79
2.000000e-03 4.135470e-01 1.746402e+02 9.527216e+01     Pix  2  0
2.000000e-03 4.191321e-01 1.749347e+02 9.280330e+01     Pix  2  1
2.000000e-03 4.340255e-01 1.715811e+02 9.763563e+01     Pix  2  2
2.000000e-03 4.272216e-01 1.727709e+02 9.782099e+01     Pix  2  3
