Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])
2.000000e-03 6.238368e-01 1.684847e+02 1.025287e+02     Pix  1 66
2.000000e-03 6.537209e-01 1.653581e+02 1.037368e+02     Pix  1 67
2.000000e-03 6.439724e-01 1.665879e+02 1.033087e+02     Pix  1 68
2.000000e-03 6.337231e-01 1.606147e+02 1.107241e+02     Pix  1 69
2.000000e-03 6.180660e-01 1.627694e+02 1.054627e+02     Pix  1 70
2.000000e-03 6.277237e-01 1.631957e+02 1.065585e+02     Pix  1 71
2.000000e-03 6.533769e-01 1.623968e+02 1.088798e+02     Pix  1 72
2.000000e-03 6.445602e-01 1.672491e+02 1.046656e+02     Pix  1 73
2.000000e-03 6.770670e-01 1.622700e+02 1.051780e+02     Pix  1 74
2.000000e-03 6.594730e-01 1.625400e+02 1.063411e+02     Pix  1 75
2.000000e-03 6.309698e-01 1.658148e+02 1.052015e+02     Pix  1 76
1.999953e-03 6.329253e-01 1.641156e+02 1.066047e+02     Pix  1 77
2.000000e-03 6.613353e-01 1.664745e+02 1.035009e+02     Pix  1 78
2.000000e-03 7.389983e-01 1.562643e+02 1.079768e+02     Pix  1 79
2.000000e-03 4.715304e-01 1.664807e+02 1.066995e+02     Pix  2  0
2.000000e-03 4.858947e-01 1.657478e+02 1.082036e+02     Pix  2  1
2.000000e-03 5.345944e-01 1.619732e+02 1.111907e+02     Pix  2  2
2.000000e-03 5.208250e-01 1.601666e+02 1.116372e+02     Pix  2  3
2.000000e-03 5.253372e-01 1.612899e+02 1.098458e+02     Pix  2  4
2.000000e-03 4.958321e-01 1.640830e+02 1.092440e+02     Pix  2  5
2.000000e-03 5.027324e-01 1.652394e+02 1.064759e+02     Pix  2  6
2.000000e-03 5.537553e-01 1.625960e+02 1.077154e+02     Pix  2  7
2.000000e-03 5.593327e-01 1.607657e+02 1.102707e+02     Pix  2  8
2.000000e-03 6.081094e-01 1.578301e+02 1.139684e+02     Pix  2  9
2.000000e-03 5.529722e-01 1.630766e+02 1.093576e+02     Pix  2 10
2.000000e-03 5.994815e-01 1.571156e+02 1.143123e+02     Pix  2 11
2.000000e-03 5.403296e-01 1.664395e+02 1.062694e+02     Pix  2 12
2.000000e-03 5.936111e-01 1.639289e+02 1.064291e+02     Pix  2 13
2.000000e-03 5.632737e-01 1.655436e+02 1.052417e+02     Pix  2 14
2.000000e-03 4.879821e-01 1.656899e+02 1.084746e+02     Pix  2 15
2.000000e-03 5.254364e-01 1.623824e+02 1.095031e+02     Pix  2 16
2.000000e-03 4.892852e-01 1.664166e+02 1.067529e+02     Pix  2 17
2.000000e-03 5.232531e-01 1.676308e+02 1.052420e+02     Pix  2 18
2.000000e-03 5.017257e-01 1.690593e+02 1.045970e+02     Pix  2 19
2.000000e-03 5.228098e-01 1.671726e+02 1.050585e+02     Pix  2 20
2.000000e-03 5.199562e-01 1.664453e+02 1.063126e+02     Pix  2 21
2.000000e-03 5.434811e-01 1.637977e+02 1.094925e+02     Pix  2 22
1.999976e-03 5.381910e-01 1.655785e+02 1.082068e+02     Pix  2 23
2.000000e-03 5.578782e-01 1.647902e+02 1.071044e+02     Pix  2 24
2.000000e-03 5.726490e-01 1.658980e+02 1.046991e+02     Pix  2 25
2.000000e-03 6.121870e-01 1.619044e+02 1.079620e+02     Pix  2 26
2.000000e-03 5.479550e-01 1.627497e+02 1.113163e+02     Pix  2 27
2.000000e-03 5.565019e-01 1.632447e+02 1.104509e+02     Pix  2 28
2.000000e-03 5.332245e-01 1.661121e+02 1.086184e+02     Pix  2 29
2.000000e-03 5.731860e-01 1.656539e+02 1.069813e+02     Pix  2 30
2.000000e-03 5.518217e-01 1.660600e+02 1.057113e+02     Pix  2 31
2.000000e-03 6.086884e-01 1.636503e+02 1.055574e+02     Pix  2 32
2.000000e-03 5.844225e-01 1.589676e+02 1.143686e+02     Pix  2 33
2.000000e-03 4.813177e-01 1.686904e+02 1.063218e+02     Pix  2 34
2.000000e-03 4.976580e-01 1.669377e+02 1.072230e+02     Pix  2 35
1.999962e-03 6.038607e-01 1.613230e+02 1.102156e+02     Pix  2 36
2.000000e-03 5.487995e-01 1.659945e+02 1.072325e+02     Pix  2 37
2.000000e-03 5.832213e-01 1.635666e+02 1.078035e+02     Pix  2 38
2.000000e-03 5.198885e-01 1.667220e+02 1.073644e+02     Pix  2 39
2.000000e-03 5.675280e-01 1.619324e+02 1.089669e+02     Pix  2 40
1.999971e-03 5.648709e-01 1.635275e+02 1.097804e+02     Pix  2 41
2.000000e-03 5.732659e-01 1.665132e+02 1.056713e+02     Pix  2 42
2.000000e-03 6.040768e-01 1.618037e+02 1.075406e+02     Pix  2 43
2.000000e-03 5.521588e-01 1.686719e+02 1.048473e+02     Pix  2 44
2.000000e-03 5.605182e-01 1.651840e+02 1.081778e+02     Pix  2 45
1.999962e-03 5.958646e-01 1.604537e+02 1.092002e+02     Pix  2 46
2.000000e-03 5.802119e-01 1.638429e+02 1.090869e+02     Pix  2 47
2.000000e-03 5.773652e-01 1.647116e+02 1.055399e+02     Pix  2 48
2.000000e-03 5.994461e-01 1.644025e+02 1.056733e+02     Pix  2 49
2.000000e-03 5.563941e-01 1.668881e+02 1.064763e+02     Pix  2 50
2.000000e-03 5.056674e-01 1.646589e+02 1.094692e+02     Pix  2 51
2.000000e-03 5.625039e-01 1.611921e+02 1.102070e+02     Pix  2 52
2.000000e-03 5.771166e-01 1.587169e+02 1.129427e+02     Pix  2 53
1.999970e-03 5.540903e-01 1.655694e+02 1.061439e+02     Pix  2 54
2.000000e-03 5.509030e-01 1.651096e+02 1.077078e+02     Pix  2 55
2.000000e-03 5.897338e-01 1.634732e+02 1.076007e+02     Pix  2 56
2.000000e-03 5.388400e-01 1.664198e+02 1.053282e+02     Pix  2 57
1.999965e-03 5.901385e-01 1.620590e+02 1.099595e+02     Pix  2 58
2.000000e-03 5.982404e-01 1.616290e+02 1.098642e+02     Pix  2 59
2.000000e-03 5.903975e-01 1.640656e+02 1.053237e+02     Pix  2 60
2.000000e-03 5.742607e-01 1.656573e+02 1.057792e+02     Pix  2 61
2.000000e-03 6.213439e-01 1.625044e+02 1.076167e+02     Pix  2 62
1.999962e-03 6.067797e-01 1.617237e+02 1.109141e+02     Pix  2 63
2.000000e-03 5.287088e-01 1.673307e+02 1.074740e+02     Pix  2 64
1.999966e-03 5.825212e-01 1.634721e+02 1.095988e+02     Pix  2 65
2.000000e-03 5.896601e-01 1.653745e+02 1.080663e+02     Pix  2 66
2.000000e-03 5.812225e-01 1.664468e+02 1.041232e+02     Pix  2 67
2.000000e-03 6.184492e-01 1.640154e+02 1.076419e+02     Pix  2 68
2.000000e-03 5.514137e-01 1.637522e+02 1.084265e+02     Pix  2 69
2.000000e-03 5.300870e-01 1.636955e+02 1.094122e+02     Pix  2 70
2.000000e-03 5.320192e-01 1.649835e+02 1.092886e+02     Pix  2 71
2.000000e-03 5.443423e-01 1.690212e+02 1.023287e+02     Pix  2 72
2.000000e-03 5.840307e-01 1.650332e+02 1.065374e+02     Pix  2 73
2.000000e-03 5.303786e-01 1.681009e+02 1.063640e+02     Pix  2 74
2.000000e-03 5.582582e-01 1.651298e+02 1.081601e+02     Pix  2 75
2.000000e-03 5.337415e-01 1.676163e+02 1.073233e+02     Pix  2 76
1.999960e-03 6.133133e-01 1.606135e+02 1.110633e+02     Pix  2 77
2.000000e-03 5.832376e-01 1.659177e+02 1.060463e+02     Pix  2 78
2.000000e-03 6.606272e-01 1.571757e+02 1.098335e+02     Pix  2 79
2.000000e-03 5.356837e-01 1.616486e+02 1.106133e+02     Pix  3  0
2.000000e-03 5.720849e-01 1.592462e+02 1.120775e+02     Pix  3  1
2.000000e-03 5.057788e-01 1.644306e+02 1.094205e+02     Pix  3  2
2.000000e-03 4.885506e-01 1.648793e+02 1.091688e+02     Pix  3  3
2.000000e-03 5.181047e-01 1.636845e+02 1.105469e+02     Pix  3  4
2.000000e-03 5.123370e-01 1.636089e+02 1.090924e+02     Pix  3  5
2.000000e-03 5.910123e-01 1.617510e+02 1.097219e+02     Pix  3  6
2.000000e-03 5.545232e-01 1.631093e+02 1.085389e+02     Pix  3  7
2.000000e-03 5.606171e-01 1.604986e+02 1.122387e+02     Pix  3  8
2.000000e-03 5.319706e-01 1.660513e+02 1.090518e+02     Pix  3  9
1.999972e-03 5.505203e-01 1.637407e+02 1.083229e+02     Pix  3 10
2.000000e-03 5.809161e-01 1.604670e+02 1.107841e+02     Pix  3 11
2.000000e-03 5.671017e-01 1.643940e+02 1.059818e+02     Pix  3 12
2.000000e-03 5.743654e-01 1.661026e+02 1.049901e+02     Pix  3 13
2.000000e-03 6.005719e-01 1.621429e+02 1.090901e+02     Pix  3 14
2.000000e-03 4.993530e-01 1.656554e+02 1.095355e+02     Pix  3 15
2.000000e-03 5.531981e-01 1.621302e+02 1.099960e+02     Pix  3 16
2.000000e-03 5.304243e-01 1.639624e+02 1.095199e+02     Pix  3 17
1.999975e-03 5.360811e-01 1.669902e+02 1.074545e+02     Pix  3 18
2.000000e-03 5.445367e-01 1.659641e+02 1.059411e+02     Pix  3 19
2.000000e-03 5.477332e-01 1.661467e+02 1.062217e+02     Pix  3 20
2.000000e-03 5.227453e-01 1.657617e+02 1.083629e+02     Pix  3 21
2.000000e-03 5.672027e-01 1.629245e+02 1.083265e+02     Pix  3 22
1.999966e-03 5.893338e-01 1.616248e+02 1.103786e+02     Pix  3 23
2.000000e-03 5.703307e-01 1.666253e+02 1.034838e+02     Pix  3 24
2.000000e-03 5.884386e-01 1.626477e+02 1.069313e+02     Pix  3 25
2.000000e-03 5.943211e-01 1.640314e+02 1.082122e+02     Pix  3 26
2.000000e-03 5.402053e-01 1.652967e+02 1.058462e+02     Pix  3 27
2.000000e-03 5.458859e-01 1.641720e+02 1.087952e+02     Pix  3 28
2.000000e-03 5.353117e-01 1.657672e+02 1.072395e+02     Pix  3 29
2.000000e-03 5.782765e-01 1.655817e+02 1.062145e+02     Pix  3 30
2.000000e-03 5.606886e-01 1.673786e+02 1.046096e+02     Pix  3 31
2.000000e-03 6.170735e-01 1.640624e+02 1.055751e+02     Pix  3 32
2.000000e-03 5.431038e-01 1.641917e+02 1.074964e+02     Pix  3 33
2.000000e-03 5.473905e-01 1.625444e+02 1.102410e+02     Pix  3 34
2.000000e-03 5.052949e-01 1.671792e+02 1.070606e+02     Pix  3 35
2.000000e-03 5.576762e-01 1.658639e+02 1.074143e+02     Pix  3 36
2.000000e-03 5.775441e-01 1.622623e+02 1.094069e+02     Pix  3 37
1.999968e-03 5.638554e-01 1.632106e+02 1.073728e+02     Pix  3 38
2.000000e-03 4.982146e-01 1.696315e+02 1.051624e+02     Pix  3 39
2.000000e-03 5.430912e-01 1.642890e+02 1.069074e+02     Pix  3 40
2.000000e-03 5.108360e-01 1.684304e+02 1.054806e+02     Pix  3 41
2.000000e-03 5.770111e-01 1.666124e+02 1.054748e+02     Pix  3 42
2.000000e-03 5.907009e-01 1.639968e+02 1.070048e+02     Pix  3 43
2.000000e-03 5.542176e-01 1.681878e+02 1.063108e+02     Pix  3 44
2.000000e-03 5.948671e-01 1.603035e+02 1.114836e+02     Pix  3 45
2.000000e-03 6.035508e-01 1.629465e+02 1.089021e+02     Pix  3 46
2.000000e-03 5.735316e-01 1.648256e+02 1.076885e+02     Pix  3 47
2.000000e-03 5.880594e-01 1.643180e+02 1.058649e+02     Pix  3 48
1.999964e-03 5.735519e-01 1.689521e+02 1.031446e+02     Pix  3 49
2.000000e-03 5.934905e-01 1.643538e+02 1.075197e+02     Pix  3 50
2.000000e-03 5.297675e-01 1.664430e+02 1.067095e+02     Pix  3 51
2.000000e-03 5.556658e-01 1.642726e+02 1.078229e+02     Pix  3 52
2.000000e-03 5.217495e-01 1.653437e+02 1.089574e+02     Pix  3 53
2.000000e-03 5.753632e-01 1.644698e+02 1.080555e+02     Pix  3 54
1.999965e-03 5.841885e-01 1.625290e+02 1.084920e+02     Pix  3 55
2.000000e-03 5.576864e-01 1.670223e+02 1.063627e+02     Pix  3 56
1.999969e-03 5.629349e-01 1.647440e+02 1.068195e+02     Pix  3 57
